service_family,ons_industry_group
"Fencing, Gates & Outdoor Structures",41-43 : Construction
Fire & Safety Services,"69-75 : Professional, scientific & technical"
Fire & Safety Services,77-82 : Business administration & support services
Fire & Safety Systems,"90-99 : Arts, entertainment, recreation & other services"
Fitness & Sports Coaching,"90-99 : Arts, entertainment, recreation & other services"
Flooring,41-43 : Construction
Flooring & Tiling Services,41-43 : Construction
"Food, Baking & Personal Chef Services",55-56 : Accommodation & food services
Furniture Services,"90-99 : Arts, entertainment, recreation & other services"
"Furniture, Carpentry & Woodwork",41-43 : Construction
"Furniture, Carpentry & Woodwork",05-39 : Production
Gardening & Landscaping,41-43 : Construction
Gardening & Landscaping,"90-99 : Arts, entertainment, recreation & other services"
"Groundworks, Excavation & Plant Hire",41-43 : Construction
Hair & Barber Services,"90-99 : Arts, entertainment, recreation & other services"
Hair Removal,49-53 : Transport & Storage (inc. postal)
"Handyman, Assembly & Mounting",41-43 : Construction
"Handyman, Assembly & Mounting",77-82 : Business administration & support services
Health & Fitness,86-88 : Health
"Health, Therapy & Wellness",86-88 : Health
Heating & Boiler Services,41-43 : Construction
"Heating, Boiler & Gas Services",41-43 : Construction
Hire & Access Equipment,77-82 : Business administration & support services
Home Improvement & General Maintenance,41-43 : Construction
IT Support & Device Services,58-63 : Information & communication
Insulation Services,"90-99 : Arts, entertainment, recreation & other services"
Interior Design & Fit-Out,"90-99 : Arts, entertainment, recreation & other services"
Kitchen Services,41-43 : Construction
Landscaping Structures & Outdoor Buildings,41-43 : Construction
"Laundry, Housekeeping & Organisation",77-82 : Business administration & support services
Legal Services,"69-75 : Professional, scientific & technical"
Locksmith Services,"90-99 : Arts, entertainment, recreation & other services"
"Locksmith, Keys & Safes",77-82 : Business administration & support services
"Locksmith, Keys & Safes",41-43 : Construction
"Loft, Attic & Storage Services",41-43 : Construction
Marine & Boat Services,49-53 : Transport & Storage (inc. postal)
Marine & Boat Services,05-39 : Production
Marketing & Creative Services,"69-75 : Professional, scientific & technical"
Marketing & Creative Services,58-63 : Information & communication
Massage Services,"90-99 : Arts, entertainment, recreation & other services"
Metalwork & Fabrication,05-39 : Production
Metalwork & Fabrication,41-43 : Construction
Nail Services,"90-99 : Arts, entertainment, recreation & other services"
Painting & Decorating,41-43 : Construction
"Painting, Decorating & Wall Finishes",41-43 : Construction
Pest & Bird Control,77-82 : Business administration & support services
Pest Control Services,"90-99 : Arts, entertainment, recreation & other services"
Pet & Animal Services,"90-99 : Arts, entertainment, recreation & other services"
Pet Services,"90-99 : Arts, entertainment, recreation & other services"
Photography,"90-99 : Arts, entertainment, recreation & other services"
Plastering & Rendering,"90-99 : Arts, entertainment, recreation & other services"
Plumbing & Drainage Services,41-43 : Construction
Plumbing Services,41-43 : Construction
Pool & Hot Tub Services,"90-99 : Arts, entertainment, recreation & other services"
"Printing, Signage & Art Services","90-99 : Arts, entertainment, recreation & other services"
"Printing, Signage & Art Services",05-39 : Production
Professional Services,"90-99 : Arts, entertainment, recreation & other services"
"Property, Landlord & Estate Services",68 : Property
Removals & Moving,49-53 : Transport & Storage (inc. postal)
"Removals, Delivery & Courier Services",49-53 : Transport & Storage (inc. postal)
Renewable Energy & Insulation,41-43 : Construction
Renewable Energy Services,"90-99 : Arts, entertainment, recreation & other services"
Roofing Services,41-43 : Construction
Scaffolding Services,41-43 : Construction
Security & Alarm Services,77-82 : Business administration & support services
Security Systems,"90-99 : Arts, entertainment, recreation & other services"
"Septic, Sewage & Drainage Infrastructure",41-43 : Construction
Smart Home & Automation,"90-99 : Arts, entertainment, recreation & other services"
"Smart Home, Network & Cabling",58-63 : Information & communication
"Smart Home, Network & Cabling",41-43 : Construction
Software & Development Services,58-63 : Information & communication
Specialist Repair Services,"90-99 : Arts, entertainment, recreation & other services"
Stone & Masonry Services,41-43 : Construction
Surface Treatment & Specialist Coatings,05-39 : Production
Surface Treatment & Specialist Coatings,41-43 : Construction
"TV, Aerial & Audio Visual Services",58-63 : Information & communication
"TV, Aerial & Audio Visual Services","90-99 : Arts, entertainment, recreation & other services"
Tailoring & Clothing Alterations,"90-99 : Arts, entertainment, recreation & other services"
Tattoo & Piercing,"90-99 : Arts, entertainment, recreation & other services"
Telecoms & Telephone Services,58-63 : Information & communication
Therapy & Counselling,86-88 : Health
Tiling,41-43 : Construction
Training & Instruction,85 : Education
Transport & Transfer Services,49-53 : Transport & Storage (inc. postal)
Tree & Grounds Services,"01-03 : Agriculture, forestry & fishing"
Tree & Grounds Services,"90-99 : Arts, entertainment, recreation & other services"
Tutoring & Lessons,85 : Education
Vehicle Graphics & Signage,45 : Motor trades
Vehicle Graphics & Signage,"90-99 : Arts, entertainment, recreation & other services"
Vehicle Services,45 : Motor trades
Waste Services,"90-99 : Arts, entertainment, recreation & other services"
"Waste, Clearance & Recycling",77-82 : Business administration & support services
"Water Treatment, Tanks & Pumps",41-43 : Construction
Web & Digital Services,58-63 : Information & communication
Windows & Glazing,41-43 : Construction
"Writing, Translation & Language Services","69-75 : Professional, scientific & technical"
