reviewId,competitor,rating,publishedDate,text,relevance,user_type,user_type_confidence,complaint_themes,severity,manual_relevance,manual_user_type,primary_complaint_theme,secondary_complaint_theme,manual_complaint_themes,manual_severity,theme_rationale,severity_rationale,manual_notes,annotation_method,annotation_status,annotation_confidence
6a5e51eff5da40365d05c1dc,Bark,1,2026-07-20 18:50:55+00:00,"Got a guy to give me a price to trim a hedge. He asked for pictures so I sent them he would not give me his hourly rate   He quoted £600.00
I have trimmed the hedge many times myself and it takes about 2 hours 
",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Pricing / quote transparency,,Pricing / quote transparency,Medium,Primary: Pricing / quote transparency,"Meaningful service, financial, trust, support, or account failure",Customer received a very high hedge-trimming quote without hourly-rate transparency.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69bc00b35944e848fb0f7bbb,Yelp,1,2026-03-19 15:57:07+00:00,The minute my add went live I wAs bombarded with marketers for Google from every state in USA. Of coarse this is charged to my account and I had the feeling it was yelp sales that instigated or made it happen so commissions would go up. In writing 48 hrs  over 100 calls trying to sell me on use ng them as advertising. I was forced to cancel yet yelp charged my credit card after shutting adds off. Add was not on and still charging me. I had to cancel my card. Got no responses from yelp when trying to address the issues. Find another advertising campaign yelp is bad news.,Relevant,Service Provider / Business,High,Too many provider contacts / spam,Medium,Relevant,Service Provider / Business,Privacy / unwanted contact,Billing / refunds,Privacy / unwanted contact | Billing / refunds,Medium,Primary: Privacy / unwanted contact; Secondary: Billing / refunds,"Meaningful service, financial, trust, support, or account failure","Advertiser was bombarded with marketing calls, charged after ads were stopped, and got no support response.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a6584b433066bb43c34edd2,Bark,3,2026-07-26 05:53:24+00:00,"I like the ease of use, but a lot of leads are not accurate. Maybe needs to be clearer about what will happen for those using the service to search. ",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Poor lead quality,,Poor lead quality,Medium,Primary: Poor lead quality,"Meaningful service, financial, trust, support, or account failure",Provider says many leads are inaccurate and user expectations should be clearer.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a6cb902a7233f85065f6305,Bark,1,2026-07-31 17:02:26+00:00,"Approached 3 carpenters for kitchen revamp.
The first one cancelled our meeting 30 mins before hand, the second one turned up and was very rushed and rude, the third one measured up but never sent a quote - he then ghosted us!
Would I recommend this website?  Absolutely not",Relevant,Customer,Medium,Provider quality,Medium,Relevant,Customer,Provider quality / no-show,,Provider quality / no-show,Medium,Primary: Provider quality / no-show,"Meaningful service, financial, trust, support, or account failure","Three providers cancelled, were rude/rushed, or ghosted after measuring.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a48ea415588c7682f3f0330,Checkatrade,3,2026-07-04 13:10:57+00:00,Only one tradesman got in touch and he hasn’t sent estimate ..so a complete waste of time actually. ,Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Finding a provider / low response,,Finding a provider / low response,Medium,Primary: Finding a provider / low response,Core marketplace task produced little/no usable provider response,Only one tradesperson responded and never sent an estimate.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a7e0c604804be65d039f714,Bark,2,2026-08-13 20:26:40+00:00,Supposed to remove weeds and treat ground so they wouldn't come back.Wanted £1800 to repoint round crazy paving.So many weeds reappearing ,Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Provider quality / no-show,,Provider quality / no-show,Medium,Primary: Provider quality / no-show,"Meaningful service, financial, trust, support, or account failure",Weed-removal treatment did not prevent weeds returning.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6928264b92e8c8cc429bd508,Yell,1,2025-11-27 12:22:03+00:00,"Avoid this company at all costs.
My experience with Yell has been financially damaging, emotionally draining, and riddled with systemic failures across almost every department I dealt with.

Apologies to Conor the account manager for having to write this.  He was a very nice and helpful guy.  The failings are systematic and nothing to do with him. 

I signed up for what was sold to me as a performance-based acquisition system designed to bring in paying customers. That was repeated across multiple calls and never corrected. In reality, what I received was a stream of low-quality, irrelevant enquiries that did not match the service I provide. This was completely different from the product that was advertised and sold to me.

Over six months, I paid approximately £6,000 for a service that failed on every level:

▪ Zero proactive campaign management

Ads were left switched off for long periods without anyone noticing.
When I asked why basic marketing fundamentals were missing (retargeting, exclusions, lookalikes, job-title targeting), I was told ads are “not proactively managed unless clients complain.” That alone speaks volumes.

▪ Wrong targeting and wrong messaging

Despite providing detailed instructions again and again, Yell repeatedly advertised the wrong message, the wrong offer, and targeted the wrong regions and demographics.

▪ Severe billing issues

Yell took duplicate payments, charged more months than agreed, and then told me to sort it out through my bank - something no reputable company should ever tell a customer. Months later, key refunds still were not resolved.

▪ Complete breakdown in communication

I raised multiple formal complaints.
Not one was acknowledged or responded to within the timeframes they themselves set.
Even now, they have not provided the required resolutions.

▪ Massive impact on my business

Before using Yell, my coaching business was stable with strong client numbers.
After months of failed delivery, wasted ad spend, mismanagement, and time spent correcting their errors, my business fell into serious financial distress.

I was forced to run my own ads at £5/day just to stay visible, because I had no budget left - all my capital was tied up in a system that did not function.

▪ Hours of my own time wasted

I spent countless hours writing emails, rewriting ad copy, guiding their staff, reviewing errors, submitting complaints, and trying to help them deliver the product I had already paid for. None of this work should ever fall on the client.

The only positive

Conor, the account manager, was polite and made genuine efforts - but even he was blocked by Yell’s broken internal systems. The problem is not staff like him. The problem is the structure, the lack of capability, and the systemic failures in the organisation.

Bottom line:

Yell sold me one thing, delivered something completely different, mishandled my payments, ignored my complaints, damaged my business, and wasted months of my time.

I cannot recommend strongly enough that businesses avoid Yell.

There are far better marketing services out there, and many far cheaper ones that will still outperform what I received.

As Yell have not responded or acknowledged my official complaint emails I have had to raise with the ASA, Trading Standards, ICO, CMA and prepare for small claims court.  I appreciate the polite response Penny however I’ve tried to settle this amicably for months now.  ",Relevant,Service Provider / Business,High,Poor matching / location | Provider quality | Billing / refunds | Privacy / unwanted contact,High,Relevant,Service Provider / Business,Poor lead quality,Billing / refunds,Poor lead quality | Billing / refunds,High,Primary: Poor lead quality; Secondary: Billing / refunds,"Serious safety, legal, debt-collection, or account-security impact","Business reports ~£6,000 loss, irrelevant leads, duplicate charges, unresolved refunds, failed complaints and mis-selling.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69b9a7a5ab7eb28048e71c5b,Yelp,1,2026-03-17 21:12:37+00:00,"Hertz Rent A Car - I rented from Palo Alto CA to Stockton CA.  When I got to Stockton, apparently the agent in Palo Alto made an error and put that I was supposed to return the car to Palo Alto.  The manager of the Stockton store told me it would be another $150.  She said if I didn't like it, I could drive back to Palo Alto and discuss it with that agent.  I paid the bill, called a taxi to take me back to my car.  I later called Hertz company and complained and I did get an immediate refund of the $150 but the customer service in Stockton was horrible.  That person who said she was the manager should be fired.  I'll never rent another car from Hertz. ",Exclude,Service Provider / Business,Medium,Billing / refunds,Medium,Exclude,Not applicable,Not applicable,,Not applicable,Not applicable,Primary: Not applicable,Excluded/off-topic review,"Review is solely about Hertz car rental, not Yelp.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69e0fcd1c287220ee0620095,Yell,1,2026-04-16 17:14:25+00:00,tiffany could not understand my website request and i could see that we our 36 years relationship was not valued ,Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Customer support,,Customer support,Medium,Primary: Customer support,"Meaningful service, financial, trust, support, or account failure",Long-term business customer says website request was not understood and relationship was not valued.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a2781d4c11d85b9a3021c83,Yelp,1,2026-06-09 05:00:36+00:00,"Yelp business reviews are a disaster. They claim their algorithm dictates which reviews are shown and which are not. However, if do not you buy their ad space they will exclude positive views as “ not recommended “ and include negative reviews only which effects business ratings. When questioned, they simply hide behind their algorithm. Very corrupt company. Example. Soon after turning down their ad campaign, they hid 10 positive reviews resulting in a rating of 4.0 to 2.8.",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Review trust / moderation,,Review trust / moderation,Medium,Primary: Review trust / moderation,"Meaningful service, financial, trust, support, or account failure","Business owner alleges Yelp suppresses positive reviews after declining ads, harming rating.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a6164462d1011932417c1ff,Bark,1,2026-07-23 02:45:58+00:00,"The person did 41 minutes work for £750
I have contacted my bank and the police to get my money back ",Relevant,Service Provider / Business,Medium,Billing / refunds,High,Relevant,Customer,Provider verification / safety,,Provider verification / safety,High,Primary: Provider verification / safety,"Serious safety, legal, debt-collection, or account-security impact",Customer reports £750 for 41 minutes of work and contacted bank/police to recover money.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
68eab487cf7740fc20415c94,Bark,2,2025-10-11 21:48:23+00:00,"The problem is, you’re not guaranteed to get any leads that result in actual work. I really don’t like it because it feels like every time you spend money to get credits, you’re just rolling the dice, hoping that someone bites.

It gets worse though, because if someone actually contacts you and requests a quote, you STILL have to pay to be able to communicate with them, and even then, you’re not guaranteed to get the job. 

It’s a gamble every time you buy credits, and I really don’t like throwing money at something that isn’t guaranteed to work. If I wanted to do that, I would just risk my hard-earned money by betting on horses.

In conclusion, I don’t recommend this platform. You’re better off doing jobs for family and friends to begin with and build a foundation, then let word of mouth do the rest. 

The key to success in business is being a good middle man, and Bark is a middle man you want to promptly excise from your business if you want it to fully thrive.",Relevant,Service Provider / Business,High,Other / Manual Review,Low,Relevant,Service Provider / Business,Poor ROI / expensive leads,,Poor ROI / expensive leads,Medium,Primary: Poor ROI / expensive leads,"Meaningful service, financial, trust, support, or account failure",Provider says buying credits is a gamble with no guarantee of work.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a035d997bef71171d994b0f,Yelp,1,2026-05-12 19:04:25+00:00,"Carvana in Texas offers to sell and buy cars ONLINE  without the hassles associated with selling a used car to a dealer. I am selling a 2014 one owner luxury sedan  with 35,000 miles in like new condition. However I am disabled and unable to provide Carvana with the uploaded documents required to sell this exceptional vehicle. Carvana has posted a beautiful and well organized website that offers  buyers and sellers a simple online transaction process. What is missing from the Carvana business model is the human contact necessary to discuss the  unique and special needs of potential clients.  ",Review,Unknown,Low,Other / Manual Review,Low,Exclude,Not applicable,Not applicable,,Not applicable,Not applicable,Primary: Not applicable,Excluded/off-topic review,"Review is solely about Carvana, not Yelp.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a16ff6488b33fb44e43ae4a,Yell,1,2026-05-27 16:27:48+00:00,"Not for small growing businesses. This will be an in-depth explanation of what I learned from one year with Yell and how yell will keep you trapped at a high price for their services,  leading to small business growth stunting.

TLDR- You won't own your website. The SEO is not good. Barely any leads from yell. Gaslighting and misleading sales pitches. A phone number extension that makes your backlinks unless once you leave yell.

I have a basic background in website design and SEO but went back to a service business. On the first phone call my website was ripped apart and told no one would find it then I was shown a graph of how many more people visit yell that other lead providers so that's how I would get leads (only later when in the contract they tell you they can't guarantee leads). I needed leads and it was made out that my website would be better. 
Down the line I had to redesign my website and fix SEO as it didn't hit any of the services I specifically asked to focus on. I've had to do extra work to fix the SEO so I can get viewed when people search for the terms my business relates to. 
-I called to complain several times about the lack of leads through yell. Yell have an extra ""£300p/m"" worth of marketing added to attempt to fix this. Nothing changed. I have watched closely the leads that come through yell and those other lead providers that I was shown on the graph initially. Even though I was top in many areas and on several services during my time with the extra marketing with yell I was having barely any leads while I watched many regularly come through other lead providers. This would indicate a misleading pitch by yell that did not apply to me and my area of services. 
-Because of the high cost (to a small business) of this service by yell and lack of leads, it forced me to have to market in other ways to make up the money I needed to pay to yell. I worked out in total that I didn't even make back 1/3rd of the total cost I paid to yell over a year, meaning a loss of 2/3rds the total cost. This was the only marketing I had a loss on over the year and I could have been much more ahead if I had used other marketing options rather than yell. Keep in mind I have several services I can market for, others may struggle more if they rely on 1 service.
-On cancelling the contract your website will get cut off, yell doesn't build you a website like other companies, they rent it to you meaning you have to stay with them at a high cost to keep the website. 
-On one phone call it was attempted gaslighting to say that my chosen marketing wouldn't work yet I was receiving regular jobs from that marketing and barely any from yell. 
-They will add a phone number extension for tracking calls. This was later used to again gaslight me to say how many leads yell was getting me, it was actually coming from the work I had previously put into my google, socials and advertising that had nothing to do with yell. I regularly checked where people found me and rarely did anyone answer yell. The extension number also had bad connection making it difficult to converse with customers, also looking highly unprofessional. My mobile number, which I used in other places to track the difference in lead numbers, never had a delay or connection issue. This extension number is what they will list on all the backlinks to the website meaning the backlinks are only useful while you are with yell. As soon as you cancel all that money you spent with them goes down the drain.

My recommendation- Get a website built by a company who specialise in building and doing SEO but ultimately you own the website and pay for ongoing hosting costs and domain name only. Don't allow anyone to add an extension number that you don't personally own so that your site cant be held hostage by a company. Look up professional reviews of yell to see how they operate.",Relevant,Service Provider / Business,High,Misleading claims / transparency,Medium,Relevant,Service Provider / Business,Poor ROI / expensive leads,Sales pressure / contract terms,Poor ROI / expensive leads | Sales pressure / contract terms,Medium,Primary: Poor ROI / expensive leads; Secondary: Sales pressure / contract terms,"Meaningful service, financial, trust, support, or account failure","Small business reports weak SEO/website, few leads, misleading sales, high cost and lock-in on cancellation.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a65eb2773389e4213706383,Bark,1,2026-07-26 13:10:31+00:00,"If you looking for a service that will be useless, incompetent and just down right crap. This is the company for you. Wow bark they should change there name to the stuff that comes out the dog. ",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Unknown,Finding a provider / low response,,Finding a provider / low response,Low,Primary: Finding a provider / low response,Minor inconvenience or friction without clear material harm,"Relevant Bark complaint, but the text gives no concrete user side or specific weakness beyond general service dissatisfaction.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,medium
6a035c63be8b97c66325cd90,Yelp,1,2026-05-12 18:59:15+00:00,"Impossibile essere accettati - Una tremenda perdita di tempo - Profilo rifatto 3 volte - Poi se cerchi di contattarli ti bloccano l'accesso a quello che già hai fatto e compilato, quindi non puoi nemmeno più eliminare i dati che hai inserito. Però usano i dati per terze parti (mi sono ritrovato i dati a loro consegnati in altri portali come Apple Maps). Ma il mio profilo non è visibile in Yelp.com , perchè deve ancora essere accettato... Non ho parole. Vi auguro il meglio.",Review,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Account access / cancellation,,Account access / cancellation,Medium,Primary: Account access / cancellation,"Meaningful service, financial, trust, support, or account failure",Business profile could not be accepted; access/data deletion blocked and data appeared on third-party portals.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
685a58e88d6b43ca71d1817f,Checkatrade,2,2025-06-24 09:51:04+00:00,"Really disappointed at how many trades declined the work - three jobs in total - with no reason. Whilst we managed to find a workman eventually - and they were brilliant, we ended up having to source the companies ourselves. The whole process ended up delaying the work so wouldn't recommend. 
",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Customer,Finding a provider / low response,,Finding a provider / low response,Medium,Primary: Finding a provider / low response,Core marketplace task failed or produced little/no provider response,Multiple trades declined and customer ultimately sourced companies independently.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
69d51dd7464d805be79173e4,Yell,1,2026-04-07 17:08:07+00:00,"Was bullied into the website, not signing a contract, asking to put photos on yell but people only google for searching, only received one function since it was up and running tried to stop it and couldnt, the actual website was poorly set up and rushed just to get money
They are ripping small businesses off as mine was just starting
So i would touch them with a barge pole
I have gone full time as a postie",Relevant,Unknown,Low,Other / Manual Review,Low,Relevant,Service Provider / Business,Sales pressure / contract terms,,Sales pressure / contract terms,Medium,Primary: Sales pressure / contract terms,"Meaningful service, financial, trust, support, or account failure","Business says it was pressured into a poor website, got almost no enquiries, and could not stop the service.",AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
6a4270c3ac0073ccd39ca2a6,Yell,1,2026-06-29 15:18:59+00:00,"Wouldn’t give even one star! Appalling. Fell for all the promises, they delivered on none and expect to bleed me dry! Full of what they can do and benefits etc.

Months, no one contacted me for work. Since read other people gad been sucked in. Aware there’s a group action through Croft’s solicitors. 

Don’t fall for their promises, all false. They are sharks. Hope there’s going to be media coverage on this. ",Relevant,Customer,Medium,Finding a provider / low response | Misleading claims / transparency,Medium,Relevant,Service Provider / Business,Misleading claims / transparency,,Misleading claims / transparency,Medium,Primary: Misleading claims / transparency,"Meaningful service, financial, trust, support, or account failure",Business says promised benefits/work enquiries never materialised.,AI-assisted annotation by ChatGPT; refined primary/secondary theme and impact-based severity pass,reviewed_v3_theme_severity,high
