platform,raw_service,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version,keep_from_v1,review_reason
Checkatrade,02394 317546,https://join.checkatrade.com/what-you-get/,public_category_page,2026-08-22,Checkatrade public category/onboarding page.,checkatrade,02394 317546,checkatrade||02394 317546,V1,,
Rated People,Drainage Specialist,https://www.ratedpeople.com/sitemap/trades/d,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,drainage specialist,rated people||drainage specialist,V1,,
Rated People,Driveway pavers,https://www.ratedpeople.com/sitemap/trades/d,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,driveway pavers,rated people||driveway pavers,V1,,
Rated People,Electrician,https://www.ratedpeople.com/sitemap/trades/e,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,electrician,rated people||electrician,V1,,
Rated People,Floor fitters,https://www.ratedpeople.com/sitemap/trades/f,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,floor fitters,rated people||floor fitters,V1,,
Rated People,Gardener / Landscape gardeners,https://www.ratedpeople.com/sitemap/trades/g,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,gardener landscape gardeners,rated people||gardener landscape gardeners,V1,,
Rated People,Gas / Heating engineer,https://www.ratedpeople.com/sitemap/trades/g,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,gas heating engineer,rated people||gas heating engineer,V1,,
Rated People,Handyperson,https://www.ratedpeople.com/sitemap/trades/h,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,handyperson,rated people||handyperson,V1,,
Rated People,Kitchen Specialist,https://www.ratedpeople.com/sitemap/trades/k,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,kitchen specialist,rated people||kitchen specialist,V1,,
Rated People,Locksmith,https://www.ratedpeople.com/sitemap/trades/l,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,locksmith,rated people||locksmith,V1,,
Rated People,Loft Conversion Specialist,https://www.ratedpeople.com/sitemap/trades/l,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,loft conversion specialist,rated people||loft conversion specialist,V1,,
Rated People,Painter and decorator,https://www.ratedpeople.com/sitemap/trades/p,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,painter and decorator,rated people||painter and decorator,V1,,
Rated People,Pest Control,https://www.ratedpeople.com/sitemap/trades/p,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,pest control,rated people||pest control,V1,,
Rated People,Plasterer / Renderer,https://www.ratedpeople.com/sitemap/trades/p,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,plasterer renderer,rated people||plasterer renderer,V1,,
Rated People,Plumber,https://www.ratedpeople.com/sitemap/trades/p,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,plumber,rated people||plumber,V1,,
Rated People,Removal Services,https://www.ratedpeople.com/sitemap/trades/r,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,removal services,rated people||removal services,V1,,
Rated People,Renewable Energy Specialist,https://www.ratedpeople.com/sitemap/trades/r,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,renewable energy specialist,rated people||renewable energy specialist,V1,,
Rated People,Roofer,https://www.ratedpeople.com/sitemap/trades/r,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,roofer,rated people||roofer,V1,,
Rated People,Security systems / Alarms,https://www.ratedpeople.com/sitemap/trades/s,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,security systems alarms,rated people||security systems alarms,V1,,
Rated People,Specialist Tradesperson,https://www.ratedpeople.com/sitemap/trades/s,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,specialist tradesperson,rated people||specialist tradesperson,V1,,
Rated People,Stoneworker / Stonemason,https://www.ratedpeople.com/sitemap/trades/s,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,stoneworker stonemason,rated people||stoneworker stonemason,V1,,
Rated People,Swimming Pool Specialist,https://www.ratedpeople.com/sitemap/trades/s,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,swimming pool specialist,rated people||swimming pool specialist,V1,,
Rated People,Tiler,https://www.ratedpeople.com/sitemap/trades/t,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,tiler,rated people||tiler,V1,,
Rated People,Traditional Craftsperson,https://www.ratedpeople.com/sitemap/trades/t,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,traditional craftsperson,rated people||traditional craftsperson,V1,,
Rated People,Tree Surgeon,https://www.ratedpeople.com/sitemap/trades/t,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,tree surgeon,rated people||tree surgeon,V1,,
Rated People,Window fitter / Conservatory installer,https://www.ratedpeople.com/sitemap/trades/w,alphabetical_trade_sitemap,2026-08-22,Rated People public trade-and-skill sitemap.,rated people,window fitter conservatory installer,rated people||window fitter conservatory installer,V1,,
Yell,Accountants,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,accountants,yell||accountants,V1,,
Yell,Architects,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,architects,yell||architects,V1,,
Yell,Barbers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,barbers,yell||barbers,V1,,
Yell,Beauty salons,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,beauty salons,yell||beauty salons,V1,,
Yell,Body massage,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,body massage,yell||body massage,V1,,
Yell,Builders,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,builders,yell||builders,V1,,
Yell,Building surveyors,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,building surveyors,yell||building surveyors,V1,,
Yell,Cafes & Coffee Shops,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,cafes and coffee shops,yell||cafes and coffee shops,V1,,
Yell,Car Body Repairs,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,car body repairs,yell||car body repairs,V1,,
Yell,Carpenters & Joiners,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,carpenters and joiners,yell||carpenters and joiners,V1,,
Yell,Charity Shops,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,charity shops,yell||charity shops,V1,,
Yell,Chinese Takeaways,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,chinese takeaways,yell||chinese takeaways,V1,,
Yell,Chiropodists and podiatrists,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,chiropodists and podiatrists,yell||chiropodists and podiatrists,V1,,
Yell,Day Nurseries,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,day nurseries,yell||day nurseries,V1,,
Yell,Dentists,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,dentists,yell||dentists,V1,,
Yell,Discover,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,discover,yell||discover,V1,,
Yell,Doctors (medical Practitioners),https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,doctors medical practitioners,yell||doctors medical practitioners,V1,,
Yell,Dog Boarding,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,dog boarding,yell||dog boarding,V1,,
Yell,Domestic cleaners,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,domestic cleaners,yell||domestic cleaners,V1,,
Yell,Driving instructors,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,driving instructors,yell||driving instructors,V1,,
Yell,Dry Cleaners,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,dry cleaners,yell||dry cleaners,V1,,
Yell,Electricians,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,electricians,yell||electricians,V1,,
Yell,Estate agents,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,estate agents,yell||estate agents,V1,,
Yell,Farmers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,farmers,yell||farmers,V1,,
Yell,Fencing contractors,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,fencing contractors,yell||fencing contractors,V1,,
Yell,Financial advisers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,financial advisers,yell||financial advisers,V1,,
Yell,Florists,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,florists,yell||florists,V1,,
Yell,Furniture Shops,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,furniture shops,yell||furniture shops,V1,,
Yell,Garage services,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,garage services,yell||garage services,V1,,
Yell,Gardeners,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,gardeners,yell||gardeners,V1,,
Yell,Gas Engineers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,gas engineers,yell||gas engineers,V1,,
Yell,Hairdressers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,hairdressers,yell||hairdressers,V1,,
Yell,Handyman services,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,handyman services,yell||handyman services,V1,,
Yell,Hotels,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,hotels,yell||hotels,V1,,
Yell,Indian Restaurants,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,indian restaurants,yell||indian restaurants,V1,,
Yell,Locksmiths,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,locksmiths,yell||locksmiths,V1,,
Yell,Mobile car valeting,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,mobile car valeting,yell||mobile car valeting,V1,,
Yell,Mobile Hairdressers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,mobile hairdressers,yell||mobile hairdressers,V1,,
Yell,Mobile mechanics,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,mobile mechanics,yell||mobile mechanics,V1,,
Yell,Mortgages,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,mortgages,yell||mortgages,V1,,
Yell,Mot Testing,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,mot testing,yell||mot testing,V1,,
Yell,Newsagents,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,newsagents,yell||newsagents,V1,,
Yell,Painters & Decorators,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,painters and decorators,yell||painters and decorators,V1,,
Yell,Pet grooming,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,pet grooming,yell||pet grooming,V1,,
Yell,Pharmacies,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,pharmacies,yell||pharmacies,V1,,
Yell,Plumbers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,plumbers,yell||plumbers,V1,,
Yell,Popular Locations,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,popular locations,yell||popular locations,V1,,
Yell,Pubs,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,pubs,yell||pubs,V1,,
Yell,Roofers,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,roofers,yell||roofers,V1,,
Yell,Skip Hire,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,skip hire,yell||skip hire,V1,,
Yell,Solicitors,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,solicitors,yell||solicitors,V1,,
Yell,Supermarkets,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,supermarkets,yell||supermarkets,V1,,
Yell,Takeaway Food,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,takeaway food,yell||takeaway food,V1,,
Yell,Taxis & Private Hire Vehicles,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,taxis and private hire vehicles,yell||taxis and private hire vehicles,V1,,
Yell,Tyres,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,tyres,yell||tyres,V1,,
Yell,Vets,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,vets,yell||vets,V1,,
Yell,Washing machine repairs,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,washing machine repairs,yell||washing machine repairs,V1,,
Yell,Window cleaners,https://www.yell.com/,public_category_taxonomy,2026-08-22,Public Yell category labels available from its pages. Not claimed to represent Yell's complete internal classification.,yell,window cleaners,yell||window cleaners,V1,,
Bark,Join as a professional,https://www.bark.com/en/gb/services/,public_all_services_page,2026-08-22,Bark UK Explore All Services page.,bark,join as a professional,bark||join as a professional,V1,,
Bark,Pricing,https://www.bark.com/en/gb/services/,public_all_services_page,2026-08-22,Bark UK Explore All Services page.,bark,pricing,bark||pricing,V1,,
Airtasker,Built In Wardrobe,https://www.airtasker.com/uk/services/,public_all_services_page,2026-08-22,Airtasker UK services taxonomy. Recent task counts will be collected separately as demand data.,airtasker,built in wardrobe,airtasker||built in wardrobe,V1,,
Airtasker,Move In Cleaning,https://www.airtasker.com/uk/services/,public_all_services_page,2026-08-22,Airtasker UK services taxonomy. Recent task counts will be collected separately as demand data.,airtasker,move in cleaning,airtasker||move in cleaning,V1,,
Fresha,Salon,https://www.fresha.com/en-GB/pricing,public_service_verticals,2026-08-22,Fresha public UK service/business verticals. Detailed treatments will be added later for shortlisted verticals.,fresha,salon,fresha||salon,V1,,
Treatwell,England,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,england,treatwell||england,V1,,
Treatwell,Glasgow Area,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,glasgow area,treatwell||glasgow area,V1,,
Treatwell,Greater London,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,greater london,treatwell||greater london,V1,,
Treatwell,Greater Manchester,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,greater manchester,treatwell||greater manchester,V1,,
Treatwell,Hairdressers in Birmingham,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in birmingham,treatwell||hairdressers in birmingham,V1,,
Treatwell,Hairdressers in Bristol,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in bristol,treatwell||hairdressers in bristol,V1,,
Treatwell,Hairdressers in Edinburgh,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in edinburgh,treatwell||hairdressers in edinburgh,V1,,
Treatwell,Hairdressers in Glasgow,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in glasgow,treatwell||hairdressers in glasgow,V1,,
Treatwell,Hairdressers in Leeds,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in leeds,treatwell||hairdressers in leeds,V1,,
Treatwell,Hairdressers in Liverpool,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in liverpool,treatwell||hairdressers in liverpool,V1,,
Treatwell,Hairdressers in Manchester,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,hairdressers in manchester,treatwell||hairdressers in manchester,V1,,
Treatwell,Lothians,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,lothians,treatwell||lothians,V1,,
Treatwell,Nail Salons in Birmingham,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in birmingham,treatwell||nail salons in birmingham,V1,,
Treatwell,Nail Salons in Bristol,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in bristol,treatwell||nail salons in bristol,V1,,
Treatwell,Nail Salons in Edinburgh,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in edinburgh,treatwell||nail salons in edinburgh,V1,,
Treatwell,Nail Salons in Glasgow,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in glasgow,treatwell||nail salons in glasgow,V1,,
Treatwell,Nail Salons in Leeds,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in leeds,treatwell||nail salons in leeds,V1,,
Treatwell,Nail Salons in Liverpool,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in liverpool,treatwell||nail salons in liverpool,V1,,
Treatwell,Nail Salons in Manchester,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,nail salons in manchester,treatwell||nail salons in manchester,V1,,
Treatwell,North West,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,north west,treatwell||north west,V1,,
Treatwell,Scotland,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,scotland,treatwell||scotland,V1,,
Treatwell,Strathclyde,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,strathclyde,treatwell||strathclyde,V1,,
Treatwell,United Kingdom,https://www.treatwell.co.uk/,public_treatment_taxonomy,2026-08-22,Treatwell public treatment-family and treatment-menu links.,treatwell,united kingdom,treatwell||united kingdom,V1,,
Booksy,Professional Services,https://booksy.com/en-gb/,public_service_categories,2026-08-22,Booksy UK public marketplace service categories.,booksy,professional services,booksy||professional services,V1,,
